"Дата";"Регион";"Смертей за день"
23.02.2022;Новосибирская обл.;14
14.02.2022;Нижегородская обл.;13
14.02.2022;Алтайский край;16
08.02.2022;Пермский край;15
05.03.2022;Свердловская обл.;12
07.02.2022;Пермский край;11
03.03.2022;Свердловская обл.;13
02.11.2020;Москва;53
25.02.2022;Новосибирская обл.;13
07.02.2022;Свердловская обл.;9
04.03.2022;Свердловская обл.;15
06.03.2022;Свердловская обл.;8
28.02.2022;Свердловская обл.;15
25.02.2022;Красноярский край;27
13.02.2022;Алтайский край;19
20.01.2022;Санкт-Петербург;60
15.05.2020;Москва;68
07.03.2022;Свердловская обл.;9
24.02.2022;Москва;82
14.05.2020;Москва;58
17.02.2022;Челябинская обл.;20
13.05.2020;Москва;53
12.10.2021;Москва;70
05.02.2022;Челябинская обл.;13
25.11.2020;Москва;75
11.02.2022;Нижегородская обл.;23
08.03.2022;Свердловская обл.;10
12.02.2022;Алтайский край;20
19.02.2022;Свердловская обл.;10
16.01.2021;Москва;79
26.02.2022;Красноярский край;28
17.10.2020;Москва;56
11.01.2021;Москва;75
05.02.2022;Воронежская обл.;11
07.02.2022;Красноярский край;13
11.01.2022;Москва;68
19.02.2022;Ростовская обл.;9
13.10.2020;Москва;58
27.02.2022;Свердловская обл.;14
11.02.2022;Алтайский край;22
18.10.2020;Москва;52
10.10.2021;Москва;72
22.02.2022;Пермский край;23
08.10.2021;Москва;71
14.02.2022;Свердловская обл.;10
13.02.2022;Нижегородская обл.;14
14.10.2020;Москва;52
17.07.2021;Москва;102
20.02.2022;Ростовская обл.;5
16.02.2022;Алтайский край;21
26.02.2022;Свердловская обл.;10
25.02.2022;Свердловская обл.;8
24.02.2022;Новосибирская обл.;17
18.02.2022;Ростовская обл.;20
23.02.2022;Пермский край;26
02.03.2022;Санкт-Петербург;66
11.02.2022;Челябинская обл.;18
06.02.2022;Пермский край;7
18.02.2022;Башкортостан;18
11.10.2020;Москва;35
19.02.2022;Краснодарский край;14
11.11.2020;Москва;73
13.02.2022;Ростовская обл.;10
11.02.2022;Ростовская обл.;14
15.02.2022;Алтайский край;22
07.02.2022;Воронежская обл.;3
19.02.2022;Башкортостан;19
25.10.2020;Москва;68
12.02.2022;Ростовская обл.;10
24.10.2020;Москва;63
10.02.2022;Челябинская обл.;17
10.02.2022;Алтайский край;21
26.02.2022;Новосибирская обл.;15
21.01.2022;Московская обл.;41
09.02.2022;Челябинская обл.;13
22.10.2020;Москва;66
04.10.2021;Москва;66
13.10.2021;Москва;72
20.02.2022;Башкортостан;18
24.02.2022;Пермский край;23
08.02.2022;Челябинская обл.;20
12.10.2020;Москва;34
10.02.2022;Новосибирская обл.;9
21.10.2020;Москва;63
21.02.2022;Башкортостан;17
19.01.2022;Санкт-Петербург;62
17.02.2022;Ростовская обл.;9
05.02.2022;Пермский край;12
18.07.2021;Москва;106
17.02.2022;Башкортостан;19
07.02.2022;Нижегородская обл.;15
12.02.2022;Нижегородская обл.;26
17.02.2022;Краснодарский край;17
13.01.2021;Москва;76
17.02.2022;Алтайский край;20
27.10.2020;Москва;61
22.02.2022;Башкортостан;19
21.02.2022;Нижегородская обл.;20
03.10.2021;Москва;65
22.07.2021;Москва;102
15.02.2022;Московская обл.;32
23.02.2022;Башкортостан;19
17.02.2022;Нижегородская обл.;37
22.02.2022;Москва;85
18.02.2022;Алтайский край;22
16.02.2022;Ростовская обл.;12
16.02.2022;Воронежская обл.;7
26.02.2022;Самарская обл.;16
25.02.2022;Самарская обл.;18
10.01.2021;Москва;77
28.02.2022;Самарская обл.;14
27.02.2022;Самарская обл.;15
27.02.2022;Новосибирская обл.;13
18.02.2022;Челябинская обл.;19
24.02.2022;Башкортостан;18
20.02.2022;Московская обл.;34
13.11.2021;Москва;97
19.02.2022;Алтайский край;20
18.11.2020;Москва;76
22.02.2022;Самарская обл.;19
24.02.2022;Свердловская обл.;6
24.02.2022;Самарская обл.;15
23.02.2022;Самарская обл.;18
21.02.2022;Самарская обл.;13
17.01.2022;Санкт-Петербург;65
06.02.2022;Красноярский край;15
01.03.2022;Самарская обл.;12
06.02.2022;Свердловская обл.;11
09.06.2021;Москва;58
06.02.2022;Нижегородская обл.;31
20.02.2022;Алтайский край;20
16.02.2022;Башкортостан;19
10.10.2020;Москва;30
09.02.2022;Алтайский край;19
06.10.2020;Москва;31
18.01.2022;Санкт-Петербург;64
10.02.2022;Ростовская обл.;14
17.02.2022;Московская обл.;31
18.11.2021;Москва;94
23.02.2022;Свердловская обл.;9
02.03.2022;Самарская обл.;18
25.02.2022;Пермский край;23
28.02.2022;Новосибирская обл.;16
06.02.2022;ХМАО – Югра;5
15.02.2022;Ростовская обл.;10
05.02.2022;ХМАО – Югра;3
19.02.2022;Челябинская обл.;21
02.10.2021;Москва;67
05.02.2022;Красноярский край;18
17.01.2021;Москва;67
12.01.2022;Москва;66
19.07.2021;Москва;103
08.02.2022;Воронежская обл.;5
04.02.2022;Пермский край;17
30.09.2021;Москва;62
01.10.2021;Москва;64
04.02.2022;Челябинская обл.;14
20.02.2022;Самарская обл.;12
26.02.2022;Пермский край;27
22.02.2022;Нижегородская обл.;20
09.02.2022;Новосибирская обл.;7
21.02.2022;Ростовская обл.;6
05.02.2022;Самарская обл.;15
14.02.2022;Татарстан;4
20.02.2022;Челябинская обл.;18
14.07.2021;Москва;109
14.02.2022;Ростовская обл.;6
16.01.2022;Санкт-Петербург;63
15.02.2022;Башкортостан;19
06.02.2022;Самарская обл.;12
26.02.2022;Москва;83
15.10.2020;Москва;57
19.02.2022;Самарская обл.;13
26.11.2021;Москва;94
10.11.2021;Москва;98
07.02.2022;ХМАО – Югра;4
04.02.2022;Воронежская обл.;16
13.02.2022;Архангельская обл.;0
21.02.2022;Алтайский край;20
23.02.2022;Ростовская обл.;18
18.02.2022;Нижегородская обл.;26
25.02.2022;Башкортостан;21
03.03.2022;Самарская обл.;18
17.05.2020;Москва;71
21.02.2022;Челябинская обл.;19
13.02.2022;Краснодарский край;9
03.01.2021;Москва;77
03.02.2022;Пермский край;6
07.02.2022;Самарская обл.;11
27.02.2022;Пермский край;27
22.02.2022;Ростовская обл.;13
18.02.2022;Самарская обл.;14
05.10.2021;Москва;72
14.05.2021;Москва;60
08.06.2021;Москва;62
08.02.2022;Самарская обл.;13
28.02.2022;Пермский край;20
02.12.2021;Москва;92
07.02.2022;Саха (Якутия);3
06.02.2022;Саха (Якутия);4
14.02.2022;Башкортостан;16
15.11.2021;Москва;93
11.12.2020;Санкт-Петербург;69
12.12.2020;Санкт-Петербург;79
10.12.2020;Санкт-Петербург;79
04.02.2022;Самарская обл.;13
11.02.2022;Краснодарский край;14
14.12.2020;Санкт-Петербург;64
12.02.2022;Архангельская обл.;1
13.12.2020;Санкт-Петербург;67
05.02.2022;Саха (Якутия);3
15.12.2020;Санкт-Петербург;72
30.12.2020;Санкт-Петербург;78
17.12.2020;Санкт-Петербург;79
08.02.2022;Алтайский край;16
27.12.2020;Санкт-Петербург;74
09.12.2020;Санкт-Петербург;83
22.12.2020;Санкт-Петербург;82
20.12.2020;Санкт-Петербург;73
31.12.2020;Санкт-Петербург;84
16.12.2020;Санкт-Петербург;69
29.12.2020;Санкт-Петербург;79
18.12.2020;Санкт-Петербург;84
24.12.2020;Санкт-Петербург;72
26.12.2020;Санкт-Петербург;82
02.02.2022;Пермский край;12
19.12.2020;Санкт-Петербург;75
06.12.2020;Санкт-Петербург;47
21.12.2020;Санкт-Петербург;77
25.12.2020;Санкт-Петербург;76
23.12.2020;Санкт-Петербург;75
28.12.2020;Санкт-Петербург;75
01.01.2021;Санкт-Петербург;75
16.02.2022;Татарстан;5
02.01.2021;Санкт-Петербург;76
07.12.2020;Санкт-Петербург;31
03.01.2021;Санкт-Петербург;80
05.02.2022;Свердловская обл.;12
14.11.2021;Москва;95
08.12.2020;Санкт-Петербург;86
15.02.2022;Татарстан;6
05.12.2020;Санкт-Петербург;58
05.02.2022;Нижегородская обл.;27
30.05.2021;Москва;59
22.02.2022;Челябинская обл.;21
12.02.2022;Иркутская обл.;15
09.10.2020;Москва;33
29.11.2020;Санкт-Петербург;62
01.12.2020;Санкт-Петербург;85
28.11.2020;Санкт-Петербург;70
07.01.2022;Москва;72
04.12.2020;Санкт-Петербург;57
26.02.2022;Башкортостан;20
03.02.2022;Самарская обл.;15
03.12.2020;Санкт-Петербург;69
30.11.2020;Санкт-Петербург;20
